"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.6435,86.5111423670541,86.4584513211668,86.4156553510479,86.7451772041884,86.1794192647932,0,1e+05,50
0.1535,86.5111423670541,86.6641974902617,86.6212997033174,86.9519255470638,86.3693178058855,0,1e+05,50
0.9245,86.5111423670541,86.292395520376,86.2496816521263,86.5865248980487,85.9989446287224,0,1e+05,50
0.9445,86.5111423670541,86.2815252604401,86.2388168091051,86.5598375442143,85.9939604244749,0,1e+05,50
0.879,86.5111423670541,86.3427683597432,86.3000295698957,86.6394115507007,86.0503936444098,0,1e+05,50
0.87,86.5111423670541,86.3510282591127,86.3082853356552,86.6455446810976,86.065639678628,0,1e+05,50
0.3835,86.5111423670541,86.5540018971887,86.5111585882889,86.8210915898662,86.2727050431721,0,1e+05,50
0.5865,86.5111423670541,86.4785873310203,86.4357813097374,86.7648810580788,86.1905549770969,0,1e+05,50
0.314,86.5111423670541,86.5877004822824,86.5448404967666,86.8852375608016,86.3007860224366,0,1e+05,50
0.6325,86.5111423670541,86.4644154214185,86.4216164469725,86.7480438311617,86.166391088047,0,1e+05,50
0.977,86.5111423670541,86.2222759344358,86.179596758941,86.5056921744448,85.9159124371805,0,1e+05,50
0.3605,86.5111423670541,86.5607632132301,86.5179165781335,86.8433877437137,86.2839793777625,0,1e+05,50
0.3585,86.5111423670541,86.5629386101035,86.5200909176977,86.8380585781483,86.2697356180129,0,1e+05,50
0.327,86.5111423670541,86.5725059016768,86.5296534512032,86.8581196749857,86.2853518839762,0,1e+05,50
0.0435,86.5111423670541,86.7640782832369,86.7211310651888,87.0438360626779,86.4634245710056,0,1e+05,50
0.3795,86.5111423670541,86.5559791178594,86.513134845139,86.8569342128143,86.2581666053295,0,1e+05,50
0.507,86.5111423670541,86.5099778919207,86.4671563857284,86.8024568913587,86.2091120652326,0,1e+05,50
0.023,86.5111423670541,86.7930272528626,86.7500656978667,87.0534284942242,86.5203918137378,0,1e+05,50
0.4705,86.5111423670541,86.5200142064308,86.477187771095,86.8195749142852,86.2238903984374,0,1e+05,50
0.929,86.5111423670541,86.2929675540672,86.2502534356924,86.5873952138463,85.9967248422505,0,1e+05,50
0.374,86.5111423670541,86.5563710480191,86.5135265906784,86.8471376613173,86.2657512844067,0,1e+05,50
0.1375,86.5111423670541,86.6751338976049,86.6322306978606,86.9562827711812,86.3837992471454,0,1e+05,50
0.5915,86.5111423670541,86.476071295323,86.4332665608813,86.7499862180155,86.1851806744641,0,1e+05,50
0.7975,86.5111423670541,86.3883409722489,86.3455796893815,86.6817471279322,86.1016066213096,0,1e+05,50
0.3225,86.5111423670541,86.5733957480053,86.5305428456448,86.8398026500394,86.2805372867011,0,1e+05,50
0.4385,86.5111423670541,86.534547419998,86.4917137703305,86.8239093823566,86.2355965569569,0,1e+05,50
0.46,86.5111423670541,86.5238787689574,86.481050402267,86.7944891479572,86.2417036072254,0,1e+05,50
0.1475,86.5111423670541,86.6621377913027,86.6192409648679,86.9497957323897,86.3806659523259,0,1e+05,50
0.098,86.5111423670541,86.6985238585191,86.6556090481923,86.994194735245,86.4188623526551,0,1e+05,50
0.659,86.5111423670541,86.4502205755027,86.4074286560276,86.7313195324503,86.1691427922353,0,1e+05,50
0.6405,86.5111423670541,86.4591848343342,86.4163884674292,86.7458892277778,86.1722089199174,0,1e+05,50
0.6875,86.5111423670541,86.4410412722816,86.3982538013305,86.7351776092885,86.1557512226747,0,1e+05,50
0.4945,86.5111423670541,86.5135196106513,86.4706963473738,86.7980471023202,86.2369972629756,0,1e+05,50
0.6,86.5111423670541,86.4702021423063,86.4274003059006,86.7611711611003,86.1910687001179,0,1e+05,50
0.392,86.5111423670541,86.5555484520477,86.5127044536125,86.8594292986468,86.2794308139275,0,1e+05,50
0.6995,86.5111423670541,86.4311582656284,86.3883757816362,86.7152615810009,86.1351873238536,0,1e+05,50
0.6305,86.5111423670541,86.4626401182076,86.4198420111994,86.7539045266593,86.1724957853525,0,1e+05,50
0.7285,86.5111423670541,86.4159749519986,86.3731999639369,86.7090442097876,86.1091814655755,0,1e+05,50
0.8155,86.5111423670541,86.3899234858843,86.3471613810939,86.6750089031181,86.1068817912552,0,1e+05,50
0.015,86.5111423670541,86.8334147637893,86.7904332371184,87.1166181018138,86.5401021083764,0,1e+05,50
0.85,86.5111423670541,86.3593124708265,86.3165654896694,86.6549283775219,86.0761174289574,0,1e+05,50
0.5385,86.5111423670541,86.4922019506702,86.4493892148233,86.7829627718073,86.2144475952911,0,1e+05,50
0.2995,86.5111423670541,86.5869747977568,86.5441152185788,86.8849920398689,86.2938829967991,0,1e+05,50
0.911,86.5111423670541,86.3102434034103,86.2675206538053,86.5963569956872,86.0211814220452,0,1e+05,50
0.572,86.5111423670541,86.4824500008372,86.4396420965985,86.7705954997163,86.1881814435341,0,1e+05,50
0.0285,86.5111423670541,86.7851295421099,86.7421719044078,87.0599897244739,86.5001039658034,0,1e+05,50
0.109,86.5111423670541,86.6868010248037,86.6438920187859,86.9768463698676,86.4178442222905,0,1e+05,50
0.86,86.5111423670541,86.355030830067,86.3122859595768,86.6313737573233,86.0628901068089,0,1e+05,50
0.4725,86.5111423670541,86.5233406817088,86.4805125501817,86.825439861301,86.250013724467,0,1e+05,50
0.165,86.5111423670541,86.6534130919892,86.6105205913279,86.9420076540472,86.3578424809988,0,1e+05,50
